period,ratio,keyword
2025-03-06,21.24142,니트
2025-03-07,19.92263,니트
2025-03-08,21.82169,니트
2025-03-09,25.03956,니트
2025-03-10,21.39968,니트
2025-03-11,21.85686,니트
2025-03-12,20.97766,니트
2025-03-13,20.23914,니트
2025-03-14,18.62141,니트
2025-03-15,20.11605,니트
2025-01-15,25.72533,가디건
2025-01-16,23.49217,가디건
2025-01-17,21.94478,가디건
2025-01-18,23.73835,가디건
2025-01-19,26.71004,가디건
2025-01-20,24.3362,가디건
2025-01-21,25.67258,가디건
2025-01-22,30.9126,가디건
2025-01-23,27.55407,가디건
2025-01-24,23.14049,가디건
2025-01-25,24.12519,가디건
2025-01-26,24.59996,가디건
2025-01-27,25.81325,가디건
2025-01-28,24.6703,가디건
2025-01-29,25.30332,가디건
2025-01-30,30.10374,가디건
2025-01-31,28.01125,가디건
2025-02-01,30.49059,가디건
2025-02-02,32.96993,가디건
2025-02-03,31.15878,가디건
2025-02-04,33.91946,가디건
2025-02-05,31.8973,가디건
2025-02-06,31.82697,가디건
2025-02-07,27.53648,가디건
2025-02-08,29.25971,가디건
2025-02-09,35.39651,가디건
2025-02-10,31.22911,가디건
2025-02-11,31.73905,가디건
2025-02-12,32.58308,가디건
2025-02-13,31.05327,가디건
2025-02-14,31.84455,가디건
2025-02-15,35.50202,가디건
2025-02-16,39.91559,가디건
2025-02-17,34.46456,가디건
2025-02-18,34.11288,가디건
2025-02-19,37.40109,가디건
2025-02-20,32.19623,가디건
2025-02-21,32.671,가디건
2025-02-22,33.07543,가디건
2025-02-23,37.47142,가디건
2025-02-24,34.02496,가디건
2025-02-25,35.39651,가디건
2025-02-26,36.3988,가디건
2025-02-27,36.11746,가디건
2025-02-28,33.30402,가디건
2025-03-01,41.48056,가디건
2025-03-02,42.85211,가디건
2025-03-03,44.32917,가디건
2025-03-04,36.55705,가디건
2025-03-05,35.06242,가디건
2025-03-06,38.08686,가디건
2025-03-07,35.8537,가디건
2025-03-08,39.5815,가디건
2025-03-09,49.60436,가디건
2025-03-10,44.08299,가디건
2025-03-11,48.77791,가디건
2025-03-12,48.33831,가디건
2025-03-13,43.80165,가디건
2025-03-14,43.5203,가디건
2025-03-15,46.24582,가디건
2025-01-15,73.51855,원피스
2025-01-16,69.10497,원피스
2025-01-17,68.57745,원피스
2025-01-18,74.30982,원피스
2025-01-19,75.83963,원피스
2025-01-20,74.78459,원피스
2025-01-21,73.04378,원피스
2025-01-22,72.56901,원피스
2025-01-23,68.82363,원피스
2025-01-24,62.24723,원피스
2025-01-25,69.22806,원피스
2025-01-26,67.54,원피스
2025-01-27,70.9337,원피스
2025-01-28,66.06295,원피스
2025-01-29,65.20133,원피스
2025-01-30,71.03921,원피스
2025-01-31,72.99103,원피스
2025-02-01,80.72797,원피스
2025-02-02,82.39845,원피스
2025-02-03,76.05064,원피스
2025-02-04,75.13627,원피스
2025-02-05,72.63935,원피스
2025-02-06,71.76015,원피스
2025-02-07,69.12256,원피스
2025-02-08,78.31897,원피스
2025-02-09,82.8908,원피스
2025-02-10,78.54756,원피스
2025-02-11,80.62247,원피스
2025-02-12,79.14541,원피스
2025-02-13,79.35642,원피스
2025-02-14,75.15385,원피스
